(229,47b) (175,20f) #29#9#1d4#281#453#30e#3cd#38d#2dd#
(e3,12b) (f35,1f15) #eb#88#a8#11f#70#79#88#79#11f#55#
(917,c3b) (1211,1f15) #459#aed#2f1#aed#aed#a06#aed#5ec#aed#ba3#99f#
(101,daf) (175,20f) #81a#cdd#452#89c#d6a#9#2d6#c38#372#
(9bf,c59) (19d,457) #253#7af#104#a55#a45#2d1#594#232#303#
(12df,1687) (517,7a5) #72c#49d#160d#1043#778#1043#b99#49d#2d6#
(13c7,188b) (f35,1f15) #51e#872#4ff#13e3#1383#471#872#471#13e3#3ae#
(73d,c37) (1211,1f15) #60#3ca#b9d#3ca#3ca#61d#3ca#b09#3ca#951#a3f#
(9d,4df) (517,7a5) #374#180#3b8#c0#1da#c0#2c0#180#494#
(239,66b) (1211,1f15) #4fe#450#4cb#450#450#522#450#273#450#3ba#649#
(175,20f) (19d,457) #a#101#16f#79#1e7#122#53#158#204#
(3eb,461) (1211,1f15) #423#102#116#102#102#40b#102#170#102#33#346#
(43d,54d) (f35,1f15) #1ff#112#35#1ee#13f#3e3#112#3e3#1ee#37a#
(1bb,86f) (19d,457) #5c2#f7#3e6#669#3b5#7b5#6ac#6d3#60e#
(a7,8d1) (1211,1f15) #4e1#477#76e#477#477#3ce#477#811#477#5a0#6e0#
(18b,473) (f35,1f15) #46e#1a9#352#6e#63#1a#1a9#1a#6e#3ff#
(16f,53b) (175,20f) #1e2#2a1#1d7#479#529#4c8#3cb#405#247#
(363,3d3) (517,7a5) #228#179#3c1#39c#2e1#39c#331#179#cc#
(453,102d) (175,20f) #8f7#ef9#dec#9cb#93c#993#dc#458#a69#
(259,e81) (175,20f) #94d#7cb#bf1#395#2d4#b20#2c2#c20#711#
(403,56f) (1211,1f15) #271#176#147#176#176#389#176#2cd#176#4f#49d#
(5cb,c1f) (19d,457) #a00#be#8b8#400#5c9#b6c#99b#97a#59e#
(605,7ff) (517,7a5) #28#35#31#37#2c#37#61#35#3aa#
(79,2bf) (1211,1f15) #151#27e#1c1#27e#27e#100#27e#21b#27e#2a6#16b#
(2191,28a3) (19d,457) #1ae6#129f#f83#23e6#178c#23d3#17c8#264c#689#
(86b,ccd) (19d,457) #96f#ab6#73#bd1#141#5fc#173#cc3#bf6#
(595,1175) (f35,1f15) #5ec#1125#330#e88#75b#644#1125#644#e88#29#
(2f9,365) (517,7a5) #32a#2ea#2e6#1a2#c6#1a2#1e2#2ea#126#
(b,4df) (1211,1f15) #3bb#482#2aa#482#482#434#482#32f#482#13b#85#
(1a5,3ef) (f35,1f15) #2c2#22e#178#173#394#1f9#22e#1f9#173#235#
(4bd,e63) (19d,457) #c1#38a#c58#e2d#53e#35d#611#d50#403#
(333,913) (175,20f) #ed#7cc#ff#b0#758#726#342#7e5#3d2#
(b01,1c03) (175,20f) #13dc#4ac#126f#154b#d41#1afa#15b6#329#758#
(c7d,1555) (19d,457) #ad1#584#124a#1d4#11fa#141c#a48#f67#6db#
(407,797) (517,7a5) #4cc#47b#24#14d#6c#14d#6b1#47b#612#
(95,197) (1211,1f15) #fa#da#f4#da#da#134#da#190#da#47#5f#
(57d,817) (19d,457) #28#31#39#64#2c#34#35#37#29#
(323,8e7) (f35,1f15) #2ec#61#7e1#66b#58c#559#61#559#66b#2d3#
(8f,46d) (19d,457) #1ea#347#96#177#8f#2ee#1c7#6e#438#
(1c09,1f2b) (19d,457) #11bf#6fb#1448#64#b48#1895#e67#88c#6f3#
(217,353) (f35,1f15) #bd#15#1d3#2a6#350#131#15#131#2a6#34c#
(f9,205) (f35,1f15) #29#1c7#4a#191#176#82#1c7#82#191#130#
(92f,288b) (517,7a5) #182f#1789#12f4#286d#140a#286d#979#1789#1004#
(96b,e0f) (19d,457) #68c#3fe#6e4#cb4#174#9bc#26a#c8#a2b#
(373,5e9) (1211,1f15) #456#5bf#cb#5bf#5bf#8b#5bf#20f#5bf#58b#45f#
(3ef,991) (1211,1f15) #323#2ef#4a3#2ef#2ef#50f#2ef#43a#2ef#421#353#
(83,1ed) (1211,1f15) #159#13b#10f#13b#13b#9c#13b#110#13b#1e4#85#
(215,899) (19d,457) #811#679#199#357#23f#3f8#886#580#2ef#
(3c7,19f9) (f35,1f15) #32e#d4f#a9b#168b#d01#b94#d4f#b94#168b#8c8#
(5cb,7e5) (517,7a5) #75#301#3b8#48c#4e0#48c#539#301#5a0#
(78d,10d3) (1211,1f15) #ad1#59c#c80#59c#59c#6e5#59c#a80#59c#f74#368#
(d45,1535) (f35,1f15) #1150#797#707#ede#871#1cf#797#1cf#ede#21c#
(283,403) (175,20f) #31a#398#37#30d#1dc#335#f3#1a2#db#
(1303,14bf) (175,20f) #9fd#310#81d#73#141#412#815#ce3#1390#
(b35,ca1) (f35,1f15) #ae1#911#56a#424#88a#44e#911#44e#424#bed#
(6d9,9cb) (f35,1f15) #80d#164#4e4#7b8#614#8d2#164#8d2#7b8#8ad#
(167,b5f) (1211,1f15) #1c2#826#7d0#826#826#7be#826#ab9#826#375#334#
(b59,1fc9) (19d,457) #140#ab1#1d98#ec4#454#1512#171c#750#16c4#
(64d,bab) (175,20f) #65#897#7a9#8a3#72d#572#2cd#6d6#8c5#
(f1,2e1) (f35,1f15) #3e#2f#80#2c9#294#2af#2f#2af#2c9#3f#
(a93,17ab) (1211,1f15) #f12#b37#d2a#b37#b37#c7e#b37#bbf#b37#2cd#a89#
(2033,292d) (f35,1f15) #1b0#1859#237b#8cf#1625#491#1859#491#8cf#2475#
(175,1cdb) (19d,457) #91e#202#1921#1a64#e3f#7e#16c8#12fd#645#
(ccd,15e9) (175,20f) #14d5#483#13a8#574#12ff#1441#30#1a2#29#
(12c1,15e9) (1211,1f15) #6e4#781#906#781#781#51a#781#a95#781#fb2#1105#
(1549,20bf) (19d,457) #1910#1ee7#14c2#38c#15da#aeb#15db#be1#14f#
(2a7,3d3) (19d,457) #1e1#35#376#109#1ad#222#333#39c#1d#
(6a3,7e5) (19d,457) #28f#1df#e4#66f#7bb#e5#2f2#132#3aa#
(263,5b1) (517,7a5) #163#1e2#3be#296#158#296#13a#1e2#5a5#
(38f,b69) (f35,1f15) #157#90f#93e#58c#c6#612#90f#612#58c#18a#
(437,1747) (175,20f) #11cc#c01#a4a#295#106b#13dc#4ea#a43#566#
(80f,12e9) (f35,1f15) #d7d#940#c26#6be#10c0#9b#940#9b#6be#cb8#
(505,845) (19d,457) #3f9#1e7#5c6#419#777#5e#654#36e#d7#
(179,24d) (f35,1f15) #114#20c#ae#177#18c#7#20c#7#177#163#
(5e9,126d) (f35,1f15) #14f#f39#1095#ddf#5a6#cf2#f39#cf2#ddf#1049#
